Concelho;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Abrantes;27;2;17;24;27;0;5;47;43;49;17;26;41;16;18;181;121;78;115;167;145;152;70;71;68;75;33;36;33;37;27
Águeda;7;66;14;9;54;154;94;46;45;64;22;85;167;73;62;119;57;38;44;69;129;84;123;95;62;207;112;79;64;90;107
Aguiar da Beira;9;0;9;5;20;20;40;39;21;62;47;64;70;77;106;29;25;28;62;62;56;37;37;25;18;45;26;20;7;22;14
Alandroal;5;2;9;8;0;26;0;0;0;0;0;0;0;0;34;17;19;7;1;0;1;4;5;3;6;5;10;11;9;5;9
Albergaria-a-Velha;3;76;4;36;5;44;74;12;31;44;16;40;56;40;74;149;41;88;41;63;72;87;92;145;120;147;87;114;57;96;309
Albufeira;2;0;0;1;0;37;7;0;3;0;26;64;52;27;14;7;5;9;18;21;10;10;12;12;13;23;66;78;56;66;25
Alcácer do Sal;13;44;11;5;7;3;4;0;0;0;0;0;3;3;41;55;23;25;17;16;15;20;17;22;35;44;35;51;39;21;17
Alcanena;7;4;5;22;8;0;1;3;22;4;1;5;9;6;5;91;61;51;31;66;94;56;41;66;38;60;50;24;9;10;17
Alcobaça;2;21;21;52;34;4;1;2;30;132;26;23;14;23;57;171;121;121;95;164;169;126;132;130;84;136;67;101;85;63;42
Alcochete;7;18;0;3;2;0;0;0;0;0;0;0;1;0;1;33;31;25;45;41;58;14;10;10;8;12;38;34;15;13;14
Alcoutim;0;0;0;0;0;0;0;0;2;1;3;19;17;5;17;13;8;5;10;12;7;7;9;7;7;4;14;13;10;15;13
Alenquer;3;4;6;12;3;4;5;3;70;12;13;13;18;16;181;373;112;131;250;212;334;169;179;216;189;202;105;256;179;99;118
Alfândega da Fé;0;40;26;13;0;0;2;4;7;16;2;16;20;10;31;77;42;52;90;56;104;66;38;46;27;43;12;37;33;49;17
Alijó;1;11;34;36;29;113;13;15;5;81;53;88;59;29;90;142;147;135;189;111;221;200;145;54;88;134;121;72;59;81;66
