id,pop_Total,pop_Y0-14,pop_Y15-24,pop_Y25-64,pop_Y65-74,pop_YGE75,ARPR,low_work,rooms_pp,mat_depriv,ARPR_socexcl,emp_Y15-24_ED0-2,emp_Y25-64_ED0-2,emp_Y15-24_ED3-4,emp_Y25-64_ED3-4,emp_Y15-24_ED5-8,emp_Y25-64_ED5-8,emp_TF,emp_TP,emp_Y15-24,emp_Y25-64,emp_YGE65,emp_Y15-24_NaceA,emp_Y25-64_NaceA,emp_Y15-24_NaceB-E,emp_Y25-64_NaceB-E,emp_Y15-24_NaceF,emp_Y25-64_NaceF,emp_Y15-24_NaceG-I,emp_Y25-64_NaceG-I,emp_Y15-24_NaceJ,emp_Y25-64_NaceJ,emp_Y15-24_NaceK,emp_Y25-64_NaceK,emp_Y15-24_NaceL,emp_Y25-64_NaceL,emp_Y15-24_NaceM_N,emp_Y25-64_NaceM_N,emp_Y15-24_NaceO-Q,emp_Y25-64_NaceO-Q,emp_Y15-24_NaceR-U,emp_Y25-64_NaceR-U,unemp_Y15-24,unemp_YGE25,GDP,GVAgr,disp_income,training,earn_OC1_NaceB-F,earn_OC2_NaceB-F,earn_OC3_NaceB-F,earn_OC4_NaceB-F,earn_OC5_NaceB-F,earn_OC6_NaceB-F,earn_OC7_NaceB-F,earn_OC8_NaceB-F,earn_OC9_NaceB-F,earn_OC1_NaceG-N,earn_OC2_NaceG-N,earn_OC3_NaceG-N,earn_OC4_NaceG-N,earn_OC5_NaceG-N,earn_OC6_NaceG-N,earn_OC7_NaceG-N,earn_OC8_NaceG-N,earn_OC9_NaceG-N,earn_OC1_NaceP-S,earn_OC2_NaceP-S,earn_OC3_NaceP-S,earn_OC4_NaceP-S,earn_OC5_NaceP-S,earn_OC6_NaceP-S,earn_OC7_NaceP-S,earn_OC8_NaceP-S,earn_OC9_NaceP-S,expend_ED5-8
AT,8506889,14.32770546,11.89972033,55.47289967,10.15525182,8.144422714,14.1,9.1,1.6,4,19.2,28.21723731,11.41236529,52.73514364,54.58026092,19.04761905,34.00737379,44.97506524,17.38382857,50.20270751,74.71893517,5.036187965,3.305785124,4.393079977,19.08697363,17.02212138,12.04250295,8.306863301,31.42463597,24.4583097,2.794175521,2.975042541,2.420306966,3.513896767,,0.865002836,9.110586383,9.030062394,14.02990948,24.92909813,5.352223534,4.503686897,5.749306527,3.344131756,35500,0.3,20700,14.3,27.7,20.59,16.59,14.25,9.91,,10.65,11.44,10.3,25.62,20.29,15.7,13.71,10.05,,9.81,11.04,8.63,23.28,18.4,14.64,12.89,11.13,,9.28,8.16,9.28,1.86
BE,11180840,16.99617381,11.90408771,53.26409286,8.947547769,8.888097853,15.5,14.5,2.2,5.9,21.2,17.3799412,17.81112808,54.26331264,37.8889101,28.35674616,44.29996182,41.62060424,13.20902099,22.99814347,70.37678412,2.316747527,1.012740934,1.142870777,13.06762496,14.41114717,10.16007841,6.966978431,32.44037896,21.42107272,2.123489056,3.266367627,1.404769683,3.524050391,,0.66090857,9.67004247,10.97776293,24.10976805,32.96430617,5.684416857,4.662149265,6.95729528,4.754316695,32500,1.3,17100,7.4,31.68,24,18.62,16.57,13.58,,13.88,14.84,13.81,31.65,23.85,18.67,15.68,12.44,,14.36,14.05,12.7,32.09,26.59,18.71,16.77,15.27,,13.91,12.7,12.55,1.49
BG,7245677,13.74811491,10.37722217,56.30896878,11.14661887,8.419075264,21.8,12,1.1,33.1,40.1,10.21611002,11.04984323,77.21021611,56.29077017,12.57367387,32.66299059,51.46365449,1.402603132,20.30855167,68.00791967,3.802021208,8.120497708,6.807943201,21.28356254,23.12682452,7.334643091,7.265650341,41.32285527,27.9273435,3.536345776,2.418279454,,2.050672145,,0.374815295,6.745252128,6.797131221,4.649639817,20.08145025,4.518664047,3.157098065,6.330629073,6.892933853,12800,1.8,6900,2.1,10.04,6.86,5.47,3.98,2.63,2.31,3.19,3.26,2.73,13.63,8.99,6.28,4.24,3.15,,3.12,3.66,2.69,7.55,5.22,4.84,3.46,2.91,,3.46,2.76,2.68,0.68
CY,858000,16.27016317,14.2544289,55.60512821,8.107692308,5.762587413,14.4,9.7,2,15.3,27.4,11.11111111,17.40323072,48.14814815,36.8790003,40.74074074,45.71776897,46.54993804,7.668631411,22.07631865,68.77080312,6.386178964,5.925925926,3.68790003,7.037037037,9.722645535,5.185185185,7.223407498,47.03703704,27.79640354,,2.773544651,,6.126181042,,0.396220664,12.59259259,9.448338921,9.62962963,22.52362085,9.259259259,10.30173728,12.42814976,9.951413686,22400,-2.7,15200,7.1,21.81,14.06,12.29,8.18,,,6.52,8.39,6.41,24.2,16.39,13.56,9.96,7.02,,6.67,6.97,6.42,30.34,20.07,14.44,9.28,8.37,,,,7.15,1.58
CZ,10512419,15.00563286,10.70056283,56.92821034,10.55920621,6.806387759,9.7,7.6,1.4,6.7,14.8,8.578104139,3.819891359,82.71028037,72.47976614,8.711615487,23.69161631,56.66682239,3.849406919,26.63376265,76.5957973,4.973859847,2.570093458,2.757477257,38.81842457,29.39418399,6.542056075,8.484041973,28.27102804,21.40317197,2.703604806,3.043260106,1.96929239,2.491328345,0.667556742,0.916250355,4.405874499,7.06821702,9.445927904,20.63308536,4.572763685,3.806802068,5.013832488,3.764856453,23200,2.7,11100,9.6,16.33,11.97,8.59,7.3,4.77,5.21,5.59,5.98,4.93,15.93,12.91,9.19,7.26,5.24,5.65,5.42,5.4,4.26,12.17,8.84,7.87,6.35,5.13,4.86,5.27,4.35,3.9,0.93
DE,80767463,13.17663277,10.7747943,55.18273243,10.63387988,10.23196061,16.7,9.9,1.8,5,20.6,36.05405544,9.586665905,58.95581711,60.19167048,4.920891351,30.10254799,46.64623891,17.80639077,44.81111695,78.54664828,5.71774084,1.212913814,1.341978976,21.31702439,21.44595521,7.721106752,6.771309415,27.83547452,22.08752285,2.777136703,2.939899452,2.759186604,3.283249543,0.28463728,0.478176417,8.17498782,10.37305759,23.50693643,26.52279479,4.410595687,4.756055759,3.763274304,3.315373929,34500,1.6,20300,8,34.54,27.36,20.91,16.63,9.87,12.14,13.81,13.54,10.49,35.4,24.19,18.15,15.69,11.28,10.21,11.44,10.39,8.99,30.91,22.14,15.89,15.28,11.39,12.18,10.35,9.24,10.37,1.35
DK,5627235,17.21396032,12.88412515,51.6561153,10.86997433,7.375824894,12.1,11.7,1.9,3.2,17.9,48.37620161,15.75096448,44.97272019,43.24420203,5.559885685,39.01379096,47.66101647,16.29782892,53.08819067,77.57986329,7.20731952,2.33826968,2.30588444,7.300597558,14.34969624,5.559885685,6.106159372,47.75266303,18.40716598,2.779942842,4.270320607,1.273057937,3.197197464,,1.064254357,6.521174331,8.992949315,17.95271499,36.49505565,7.74227072,4.562990555,7.668753965,3.862452359,34200,3,14100,31.9,30.88,28.37,20.72,18.29,12.95,19.45,17.46,17.66,15.62,29.3,24.9,20.71,17.6,14.27,15.73,14.15,16.63,14.48,26.2,20.2,18.35,17.35,15.37,14.88,17.41,15.19,13.71,
EE,1315819,15.80977323,11.16886137,54.64626974,9.525702243,8.84939342,21.8,7.5,1.6,6.2,26,20.20833333,6.979695431,64.16666667,51.92168238,15.625,41.08049311,56.99304685,6.042271692,32.66150433,76.71275551,10.4639284,4.583333333,3.78897752,16.25,21.2835388,8.333333333,9.735315446,38.33333333,24.51051487,3.333333333,3.58955765,,1.450326323,,1.667875272,8.125,7.233502538,14.79166667,22.15373459,5,4.459753445,5.715763259,4.867436377,20900,2.1,9600,11.6,12.31,10.11,7.55,6.59,5.05,,5.31,5.42,4.96,12.83,11.1,8.44,6.26,4.82,,5.19,5.96,4.04,9.78,8.24,6.49,5.26,4,4.36,4.89,4.23,3.12,1.39
EL,10926807,14.64383877,10.40452165,54.46507841,9.965317407,10.52124376,22.1,17,1.2,21.5,36,19.64285714,26.42850715,62.63736264,39.19733645,17.71978022,34.37415639,39.14117372,4.105383996,12.80695798,56.01974965,2.532915618,12.36263736,13.07477729,7.760989011,10.90914545,4.120879121,4.331263685,49.17582418,30.2558565,1.098901099,2.213623684,,2.76552986,,0.116980113,5.631868132,8.038633432,13.25549451,23.5699931,6.043956044,4.724196887,14.10876415,15.82344782,19900,0.4,11400,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,46512199,15.19376454,9.707532856,56.9528781,8.895285729,9.250538767,22.2,17.1,1.9,7.1,29.2,40.35532995,34.19086381,33.18193962,23.0707083,26.44937216,42.73842789,41.50345552,7.850013215,16.57960124,62.14412091,1.582934262,5.53032327,4.152593853,9.858402351,13.94484267,3.847181405,5.834649496,45.23109805,28.82335075,2.765161635,2.999635524,0.97515362,2.69894302,0.400748063,0.56797473,7.387122629,10.20471389,13.35826877,22.76637104,10.61982367,8.006925039,18.84528814,15.53999195,25000,1.4,14000,10.1,24.14,17.28,13.47,10.8,7.8,,9.66,9.38,8.42,22.59,16.39,13.58,10,8.55,9.77,9.16,9.63,8.12,20.5,17.6,11.95,9.93,9.1,7.11,9.68,7.24,7.71,0.97
