id,lmktm_OC0,lmktm_OC1,lmktm_OC2,lmktm_OC3,lmktm_OC4,lmktm_OC5,lmktm_OC6,lmktm_OC7,lmktm_OC8,lmktm_OC9,lmktm_ED0-2,lmktm_ED3_4,lmktm_ED5-8,lmktm_Total
AT,,22.35142119,24.36866359,19.15247196,19.74000963,30.74039363,20.49180328,27.47230614,33.9581517,47.37007874,38.99566026,23.89108911,27.03911678,26.87784842
BE,,19.44444444,18.44583987,17.84979424,19.2888549,26.51597479,,27.86709539,23.93767705,40.53346035,33.11127933,21.87047519,20.44343784,23.17642179
BG,,,,,,,,,,,,0.647702991,0.88365243,0.666822649
CY,20.93023256,28.28282828,18.92857143,15.77608142,13.94736842,25.83643123,,32.69961977,25.40983607,63.40110906,45.85987261,28.29354553,23.89053254,29.07921462
CZ,10.52631579,8.223510807,7.051601128,5.177072963,5.339453974,7.351143705,8.913649025,7.53604194,8.976201885,12.43460765,15.95092025,6.792180575,7.584722969,7.382900923
DE,,9.602854483,13.48378988,13.45078582,13.11195334,22.37371796,,24.13361768,29.96514198,40.52947598,42.63037456,16.29186592,16.06962965,19.31658707
DK,,,,,,,,,,,,,,
EE,,24.35344828,26.17586912,30.35714286,30.70652174,35.66796368,,38.07285546,40.19746121,43.68530021,23.50332594,33.8731444,34.72222222,33.33938953
EL,,,2.959183673,4.96215307,3.851010101,13.49221981,53.50318471,28.321513,11.51079137,45.56416882,31.22969838,13.09598824,4.847396768,13.30021104
ES,6.041131105,8.631319359,8.865073655,5.642428206,7.502254283,18.81483537,28.86178862,16.80905596,13.26730906,38.42286565,17.85659248,23.21123723,11.16568123,16.14853804
FI,,5.588822355,5.936247375,4.760771245,4.034969738,8.23925054,10.63829787,5.735430157,5.931656995,16.03435934,12.34790446,6.743081371,5.291411043,6.709143645
FR,,27.75706741,27.38274933,22.76838301,23.88195233,27.70471165,,21.07071603,23.5622168,26.41509434,31.02970763,21.41226735,26.35672556,24.94486183
HR,,,14.8534725,16.27073061,15.94885599,17.27533853,,18.10202962,18.42948718,21.96078431,25.52380952,16.60658496,16.2363588,17.20618478
HU,,4.100367197,4.196185286,3.012704174,3.420523139,3.690753691,,3.282109657,2.308856927,3.347384081,2.754237288,3.044371038,4.278189831,3.329346647
IE,,,,,,,,,,,,,,
IT,5.010706638,8.150908244,5.482506028,7.753072968,6.819434601,22.37999635,37.07611153,23.05709197,16.82822523,40.20613834,20.87937743,16.11450666,12.42184372,16.86320261
LT,,7.260726073,8.183079057,9.382329945,,9.145129225,,12.73764259,8.786610879,12.40799159,,10.02208255,8.70006084,9.386410188
LU,,86.2745098,71.52391546,57.20930233,55.67567568,68.08510638,,68.18181818,74.48979592,77.5,73.31536388,55.82278481,73.99813607,67.62494471
LV,,23.03262956,21.71299775,31.07177974,39.84819734,24.17138238,,35.07014028,29.41919192,34.85714286,21.95121951,31.89771198,25.16402933,28.82977329
MT,,19.54887218,9.411764706,14.34977578,9.473684211,11.33333333,,16.41791045,,9.395973154,9.744408946,10.95041322,16.46191646,11.93144364
NL,,,,,,,,,,,,,,
PL,,3.038156947,2.791295208,2.855514752,2.068819928,1.706621005,,1.95082709,1.795012332,1.887334738,2.005485087,2.23559643,2.289372962,2.243243243
PT,,9.88700565,14.9581112,14.10164639,13.75036033,14.2557652,,8.656242919,8.128997868,15.2688172,8.395588758,16.98411028,16.59809441,12.81806437
RO,,,,,,,,,,,,,,0.121548285
SE,,22.18798151,27.08731123,24.57244493,25.6684492,31.04032531,20.68062827,24.933687,25.98323662,41.29692833,38.35280814,23.11887132,29.33453237,27.50474834
SI,,16.53992395,17.58499414,18.767507,20.06578947,20.9414025,,27.12177122,24.62787551,40.95860566,32.53968254,22.78723915,17.94578083,21.90912768
SK,,,2.730819246,2.932828761,3.022407504,2.184087363,,2.546628407,2.550032279,3.348214286,2.769230769,2.73049399,2.76156264,2.739242294
UK,18.69510665,23.18976407,28.18475494,21.94146519,21.40604844,24.37488864,,16.51710762,28.27336948,30.72111208,20.16707275,20.60295061,30.97610828,24.66593708
