"","cluster","neighbor","sil_width"
"NL",1,2,0.330152790244175
"FR",1,2,0.311180692401405
"UK",1,2,0.307921895192451
"FI",1,2,0.304563946309891
"SE",1,2,0.302864361730019
"AT",1,2,0.29627722403127
"DK",1,2,0.268722219782436
"DE",1,2,0.250977451058304
"BE",1,2,0.237263648203629
"LU",1,2,0.187230020116567
"IE",1,2,0.0332212013500397
"ES",1,2,-0.00873726770757155
"CY",1,2,-0.00925008954354745
"IT",1,2,-0.055271247679495
"LV",2,1,0.439413975274488
"BG",2,1,0.388339989082486
"HU",2,1,0.375553565049517
"RO",2,1,0.365194665618026
"LT",2,1,0.344813756734638
"HR",2,1,0.339294972319496
"PL",2,1,0.277962645482957
"EL",2,1,0.259835559576212
"SK",2,1,0.257471152014411
"EE",2,1,0.218510401900126
"PT",2,1,0.165720672917094
"SI",2,1,0.155155056061714
"CZ",2,1,0.08901965843568
"MT",2,1,-0.1190584091967
