"","cluster","neighbor","sil_width"
"MT",1,6,0.260236970561753
"CY",1,6,0.191243836174624
"BE",1,4,0.120779425690899
"AT",1,5,-0.101735906459087
"BG",2,7,0.415484698008295
"RO",2,6,0.333570210320491
"LV",2,6,0.159236620504503
"HU",2,6,0.124144014529598
"CZ",3,6,0.462417224838965
"SK",3,6,0.339689776714559
"SI",3,6,0.206951616858155
"DE",4,8,0.433352882783618
"UK",4,1,0.3833064947403
"FR",4,5,0.34073808840049
"DK",5,4,0.382618166043427
"SE",5,4,0.362280596544588
"FI",5,1,0.231229565186846
"NL",5,1,0.174892865800541
"EE",6,3,0.242417528142468
"LT",6,3,0.204595647672806
"PT",6,8,0.0490072768360997
"PL",6,3,-0.0699795520283425
"EL",7,8,0.378452697284081
"HR",7,6,0.297099056444957
"ES",8,6,0.293863801057408
"IT",8,4,0.0662137046670588
"IE",9,1,0
"LU",10,5,0
