"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"pop_Y65_74",0.00452845435057639,0.0011510675401275,2,0.0174814514325327,0.070739765581679
"emp_Y15_24_ED3_4",9.26347360363897e-05,9.74568905505388e-06,3,0.0191686446170926,0.00650907818421359
"rooms_pp",0.00944309213067092,0.0140643097363903,3,0.0197549809802067,0.247270566547442
"low_work",0.00460456534267027,0.000332606493546775,3,0.0211724555510646,0.0380258188256687
"emp_Y25_64_NaceM_N",0.00686721577126505,0.000945152259487525,3,0.0224246095693945,0.0641008961637825
"emp_Y25_64_NaceO_Q",-0.00270848902745906,0.000160356491046691,4,0.023412904280594,0.0264031951071593
"emp_Y25_64_NaceF",0.0113433979926192,0.00287896567085627,5,0.0236383141212938,0.111874589799291
"emp_TF",-5.1843667188132e-05,0.000107708947091495,3,0.0243479205696797,0.0216390954709846
"ARPR_socexcl",-0.00272056366989121,0.00011043132310873,3,0.0243773154549312,0.0219108562991628
"emp_Y15_24_ED0_2",0.000689406288001012,3.34185385316781e-05,2,0.0251886475026443,0.0120533270147901
"emp_Y25_64_ED3_4",0.00270932546766679,5.66396430076592e-05,3,0.025607869244796,0.015691825374593
"emp_Y15_24_NaceO_Q",0.00652853731679309,0.000274540524881608,2,0.0261159784321504,0.0345474854504859
"emp_Y25_64_NaceA",-0.00669897833795331,0.000320407859564118,3,0.027602173063568,0.037321990082909
"emp_Y25_64_ED5_8",0.00384794859690195,0.000165649292899541,8,0.0285931803778929,0.0268353958494671
"emp_Y15_24_NaceR_U",-0.0198187634757003,0.00306142367920981,6,0.028607687176847,0.115365228680123
"emp_Y15_24_NaceM_N",-0.00431296612396022,0.000797734117814442,5,0.0294989824168412,0.0588901005766177
"emp_Y15_24_NaceF",0.00813477285724189,0.00133712834126663,4,0.0300920488641651,0.0762429619508667
"emp_Y25_64",0.00795421545214458,0.000405096801663827,3,0.0320125773740011,0.0419655210690283
"training",-0.00103098959950871,0.000147734639509951,4,0.0329920669751793,0.025342787449514
"pop_Y0_14",-0.0341831391867344,0.0087508251222685,5,0.0344682135540101,0.195046299557088
"emp_TP",0.0108295107599299,0.000740439314167554,3,0.035104329222239,0.0567358999029738
"emp_Y25_64_NaceJ",0.0689024713903119,0.034870285691558,6,0.0377134706945283,0.389350705124725
"emp_Y25_64_NaceG_I",0.0184233495910421,0.00244455229313452,3,0.0417241368398177,0.103089131014413
"emp_Y15_24_ED5_8",0.00119759225010598,0.000155606341356002,7,0.0421787156304991,0.0260091918770296
"emp_Y25_64_NaceR_U",0.144032105970126,0.0956446753325196,19,0.0996030004674482,0.644827590328435
"pop_Y25_64",0.192510638363876,0.152406897914874,30,0.117187581557452,0.81398335571561
"GDP",0.000195042713328507,8.22521589506974e-08,62,0.339103372448438,0.000597980284995412
"emp_Y15_24_NaceB_E",-0.339424774426148,0.0745960144324751,74,0.793614509219251,0.569470229189643
"emp_Y25_64_NaceK",3.62134726540782,2.70983206308451,54,0.850428118313403,3.43229336925672
"emp_Y25_64_NaceL",9.48754741508496,11.2033698056531,92,0.986796422972379,6.97890921043799
"(Intercept)",-12.8222358306781,648.456553261479,100,1,53.0950035966326
